,intitule,lieu,date,nom_entreprise,description,lien
47,Ingénieur data (H/F),69,2022-02-14,Unknow,"Description du poste

Ingénieur data (H/F)

Adsearch recrute pour son client, acteur majeur de l'industrie basé à Lyon, un ingénieur data en CDI :

Les missions :

 * Identifier les différentes sources de données
 * Concevoir des pipelines de données pour recueillir, transformer et traiter de grandes quantités de données structurées et non structurées, planification des sprints pour jalonner les efforts de développement
 * Développer et exécuter des tâches pour importer des données périodiquement
 * Concevoir un modèle d'approvisionnement en données pour son analyse : stadification des données, l'ELT, la qualité des données, archivage et conservation
 * Exécution des tests pour vérifier les performances du système

Profil :

 * De formation supérieure en informatique/data/ statistique ou ingénieur
 * Expérience de 5 ans minimum sur des fonctions similaires
 * Expérience sur des outils Big Data (Spark, Kafka, Talend, Google Big Query.)
 * Anglais courant requis

Le poste :

 * CDI
 * Rémunération 70k€, négociable selon profil + variable (10%) ",https://candidat.pole-emploi.fr/offres/recherche/detail/9231677
48,Responsable DATA-BI H/F,lyon ,2022-02-14,Effektiv,"Effektiv - IT (Référence : 958885) / Rattaché(e) à la Directrice Production et Qualité Informatique, vos missions principales sont :
  
  Encadrer      un pôle de compétence autour de la data, avec une équipe composée de 10      personnes.
  Co-construire,      piloter et décliner la roadmap portant sur la stratégie Data de      l'entreprise, en collaboration avec les directions métiers et établir des      plans d'actions. 
  Superviser      dans ce cadre, les actions portant sur la mise en œuvre de solutions, et      sur l'instauration et le suivi d'une gouvernance sur la qualité des      données
  Garantir      l'implémentation des solutions de Business Intelligence (BI) et analyse de      données en partenariat avec le business. 
  Garantir      la cohérence et l'évolution des systèmes d'information, piloter la      supervision, la maintenance et la mise en œuvre des évolutions
  Définir      et mettre en place les indicateurs clés de performance (KPI) liées à la      data.
  Assurer      une veille technologique sur les outils de BI et les solutions de gestion      de données, les tendances et nouvelles pratiques
  Participer      aux projets nécessitant des ressources data et à la planification et      ordonnancement des activités BUILD/RUN
  Une expérience d'au moins 5 ans en gestion de projets de Business Intelligence sur des Systèmes d'information (matériels, logiciels, applications, architecture de données)
 Votre capacité à prendre de la hauteur sur des sujets transverses vous permettra d'être force de proposition. 
Une expérience confirmée en management d'équipe est indispensable. 
Anglais courant exigé. 
 
Stack Technique
ETL : Pentaho 5.2, 8.1 et 9. Pentaho Server
Jenkins
Base de données : PostgreSQL
 
Vous aimerez 
  Rejoindre      une entreprise indépendante engagée dans une démarche RSE.
  Proposer      des solutions à forte valeur ajoutée pour le développement de      l'entreprise.
Accompagner des équipes et développer leurs potentiels.
  ",https://candidat.pole-emploi.fr/offres/recherche/detail/9198849
49,Data analyst (H/F),la motte servolex,2022-02-11,Unknow,"Description du poste :
Dans le cadre de notre développement, nous recrutons un
ANALYSTE-CONCEPTEUR DATA H/F en CDI.
Poste basé à La Motte-Servolex (73).
 
Vos missions :
Au sein de la DSI, vous serez responsable de la qualification, de la conception et de la valorisation de la donnée au sein de l'entreprise. Vos missions principales consisteront à :
 
* Concevoir l'architecture et définir les spécifications techniques requises pour l'exploitation des données afin de créer de la valeur.
* Modéliser des entrepôts de données (datawarehouse) et les magasins de données (datamart) dédiés.
* Localiser les données de production, les extraire et les transformer afin d'alimenter les bases de données décisionnelles
* Identifier les besoins des métiers et produire des indicateurs pertinents à travers du reporting ;
* Prendre en compte les contraintes d'assurance qualité de l'entreprise et assurer la gestion de projet (coût, qualité, délai).
Description du profil :
Profil recherché :
* Vous êtes issu d'une formation supérieure de type Ingénieur en Informatique ;
* Vous bénéficiez d'une expérience d'au moins 4 ans dans un poste similaire au sein d'une équipe.
* Vous maîtrisez les bases de données, idéalement Microsoft SQL Server : langage SQL, procédures stockées, modélisation.
* Votre connaissance de PowerAMC, SAP BO, SSII, Reporting Service et des ETL en général seront fortement appréciées.
* Vous êtes capable de former des utilisateurs de niveaux différents.
 
Vous êtes reconnu pour votre rigueur et votre autonomie. Nous saurons également apprécier vos capacités d'analyse, de synthèse ainsi que vos prises d'initiative. Vous aimez le travail d'équipe et vous savez que seul on va vite, mais qu'ensemble on va loin !
Ce que nous offrons chez PEDRETTI :
* La solidité d'une entreprise familiale bien implantée ;
* Un accompagnement dans votre prise de poste et une intégration suivie ;
* Une mutuelle intéressante et une prévoyance ;
* Une ambiance de travail sérieuse et conviviale, des projets variés.
 
Vous avez envie de participer au développement de notre société et vous êtes motivé pour faire grandir nos projets ? Alors, envoyez-nous votre candidature pour que nous envisagions une rencontre prochainement avec nos équipes.
 
Rejoignez-nous vite ! ",https://candidat.pole-emploi.fr/offres/recherche/detail/9174122
50,"Technicien de production master data F/H - Système, réseaux, données (H/F)",annecy,2022-02-11,ALPEE,"Descriptif du poste:

Pour l'un de nos clients nous recherchons un technicien de production master data capable de maintenir les systèmes d'informations des données de production (SAP / MES / BI, ...), d'en exploiter les données, et d'assister les équipes production dans l'utilisation de ces progiciels.
Pour cela vous apporterez votre capacité à:
* Être référent SAP de votre secteur, utilisation et maitrise de SAP sur les transactions du quotidien et support aux équipes de production
* Gérer la configuration du MES
* Être garant de la surveillance et du bon fonctionnement des Systèmes d'informations
* Maintenir les outils BI (Business Intelligence)
* Gérer les consommables non codifiés
* Créer et maintenir les gammes & nomenclatures de production
* Être garant de l'interfaçage manuel MES CIMAG / SAP
* Revoir périodiquement les accès répertoire & machine
* Revoir périodiquement les systèmes (DI)

Profil recherché:

Pour ce poste vous devez disposer des caractères suivants:
* Formation de type Bac+2 en DUT Qualité Logistique Industrielle & Organisation, à Bac+3 en Génie Industriel
* Vous justifiez de deux années d'expérience minimum dans un environnement industriel de production
* Anglais technique écrit, parlé
* Maitrise de SAP et des transactions quotidiennes de production
* Maitrise du pack Office et principalement Excel
* Connaissance en SQL / VBA
* L'expérience sur Power BI ou un logiciel de BI similaire serait un plus
* Capacité d'analyse et de synthèse
* Pédagogue
* Autonome
* Rigoureux et organisé ",https://candidat.pole-emploi.fr/offres/recherche/detail/9162831
51,"Responsable data / service client F/H - Système, réseaux, données (H/F)",lyon ,2022-02-11,Hays France,"Descriptif du poste:

Rattaché au Directeur clientèle, vous managez une équipe de 8 personnes. Vous avez en charge le pilotage opérationnel des activités d'intégration de données dans le système informatique. Vous êtes le garant de la fiabilisation des données. Vous accompagnez l'équipe dans le production de fichiers et travaillez en mode projet : votre capacité d'analyse vous permet d'optimiser les ressources. Vous êtes en contacts réguliers avec les clients internes et externes et vous contribuez également à l'amélioration des process.

Profil recherché:

Diplômé d'un Bac +2 minimum, vous justifiez d'une expérience de 5 ans minimum en management. Vous avez un bon relationnel, êtes méthodique, rigoureux dans la gestion de vos dossiers et vous savez travailler en équipe. Vous maîtrisez Excel. Disponible rapidement, vous souhaitez vous investir dans une société de grande envergure. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9152715
52,Business Analyst H/F,69,2022-02-11,Unknow,"En tant que Business Analyst, votre rôle sera d'être un véritable « pendant » du Product Owner sur la gestion de projet en mode Agile et de suivre les phases de développement d'un projet informatique. Pour le compte de nos clients, vos missions seront les suivantes :
 Missions
 * Recueil ,analyse et rédaction des besoins métier
 * Alimentation et amélioration du Backlog
 * Rédiger et prioriser les US
 * Intégrer les contraintes techniques
 * Effectuer les tests pour validation
 * Communication avec les développeurs / product owner
 * Obtenir des utilisateurs/clients la validation des développements réalisés
 * Participation aux cérémonies
 Profil Souhaité
 Si vous disposez d'une expérience d'au moins 2 ans sur un poste similaire et avez déjà participé à des projets informatiques, ce poste est fait pour vous.
 Vous devez disposer d'une forte capacité d'analyse, d'une bonne capacité d'écoute et de communication. Les différents métiers de l'entreprise ne sont plus un secret pour vous et vous possédez une bonne connaissance des méthodes agiles, plus particulièrement Scrum.
 Statut : Cadre
 Type d'emploi : Temps plein, CDI
 Salaire : 28 000,00€ à 54 000,00€ par an
 Avantages :
 * Participation au Transport
 * Titre-restaurant
 Horaires :
 * Travail en journée
 Télétravail:
 * Temporairement en raison du COVID-19
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9153682
53,Data scientist - Formateur FME   (H/F),lyon ,2022-02-10,VEREMES,"Missions 
Dans le cadre de son développement, Veremes recherche une personne de niveau Master ou Ingénieur. 

Les missions comprendront :
- la formation auprès de nos clients utilisateurs de FME et de nos produits
- le support technique aux utilisateurs 
- le développement de scripts 
- la préparation de démonstrations 
- la traduction 
- la participation aux conférences utilisateurs 
- la rédaction de spécifications 
- la réalisation d'expertises et audits 

Profil 
Le candidat devra disposer d'une formation scientifique ou technique (Bac+4 minimum), et devra détenir au moins une des compétences suivantes :
- maîtriser les concepts de la géomatique
- avoir des compétences en informatique décisionnelle
- avoir des compétences en gestion de données (création et gestion de bases de données, extraction, chargement, contrôle et analyse des données).
Idéalement, le candidat devra justifier d'une première expérience sur FME. 
Il/elle devra de plus maîtriser l'anglais technique et avoir des connaissances sur un ou plusieurs des outils/technologies ci-dessous : 

ArcGis/Qgis 
Oracle/Sql-Server/PostgreSql 
Autocad/Microstation 
Python/Html/JavaScript 
XML",https://candidat.pole-emploi.fr/offres/recherche/detail/127XPNT
54,Data Manager (H/F),evian les bains,2022-02-10,TIME RECRUTEMENT,"Sous la responsabilité du Directeur des Systèmes d'Information (DSI), vos principales 
missions sont :
- Prendre en charge la gestion et l'administration de l'ensemble des bases de données 
de l'entreprise (essentiellement SQL) ;
- Maitriser techniquement et fonctionnellement les interactions entre les différents 
systèmes composant le SI, que ce soit des systèmes de gestion ou des systèmes 
industriels ;
- Développer, améliorer ou optimiser les interfaces entre les solutions du SI ;
- Réaliser et mettre à disposition des extractions des données pour les utilisateurs ;
- Formaliser et mettre à jour des documentations techniques.
De formation Bac+2 à BAC+5, vous justifiez d'une expérience significative dans les Bases de 
données, une parfaite maitrise de l'environnement SQL, d'un ETL (DataExchanger); une 
culture ERP serait appréciée ainsi qu'une expérience en gestion de projet serait un plus 
(Planning, Budget, Suivi ).
Doté(e) d'un esprit d'analyse et de synthèse, vous êtes apprécié(e) pour votre disponibilité 
et excellent relationnel.
Rigoureux (se) et organisé(e), vous savez faire preuve d'une très grande réactivité.
Vous avez une pratique professionnelle de l'anglais.
Poste basé à Thonon les Bains",https://candidat.pole-emploi.fr/offres/recherche/detail/127XFRM
55,Data Manager H/F,thonon les bains,2022-02-10,Milan Mokhtari,"Sous la responsabilité du Directeur des Systèmes d'Information (DSI), vos principales 
missions sont :
- Prendre en charge la gestion et l'administration de l'ensemble des bases de données 
de l'entreprise (essentiellement SQL) ;
- Maitriser techniquement et fonctionnellement les interactions entre les différents 
systèmes composant le SI, que ce soit des systèmes de gestion ou des systèmes 
industriels ;
- Développer, améliorer ou optimiser les interfaces entre les solutions du SI ;
- Réaliser et mettre à disposition des extractions des données pour les utilisateurs ;
- Formaliser et mettre à jour des documentations techniques.
De formation Bac+2 à BAC+5, vous justifiez d'une expérience significative dans les Bases de 
données, une parfaite maitrise de l'environnement SQL, d'un ETL (DataExchanger); une 
culture ERP serait appréciée ainsi qu'une expérience en gestion de projet serait un plus 
(Planning, Budget, Suivi ).
Doté(e) d'un esprit d'analyse et de synthèse, vous êtes apprécié(e) pour votre disponibilité 
et excellent relationnel.
Rigoureux (se) et organisé(e), vous savez faire preuve d'une très grande réactivité.
Vous avez une pratique professionnelle de l'anglais.
Poste basé à Thonon les Bains",https://candidat.pole-emploi.fr/offres/recherche/detail/127XFQK
56,Manager Data/BI F/H (H/F),69,2022-02-10,FED IT,"Vous souhaitez intégrer une entreprise d'assistance utilisateur dans un contexte international ? Delphine BRITTON, Consultante chez FED IT, dédiée au recrutement des métiers informatiques sur le secteur Rhône Alpes, recherche pour son client, un(e) Manager Data/BI F/H dans le cadre d'un CDI.

Rattaché à la manager de l'équipe Production et Qualité Informatique, vous serez le Responsable du pôle de compétence autour de la data, avec une équipe composée de 10 personnes (Développeurs ETL et spécialistes reporting), afin de délivrer dans le respect des objectifs de délai et de qualité. 

Vous êtes chargé(e) de la bonne mise à disposition des données dans l'entreprise, ainsi que leur automatisation et leur fiabilité.

Vous mettez en œuvre toutes les dispositions nécessaires pour optimiser la vélocité et la cohésion technique de votre équipe en vous appuyant sur l'aide de la direction technique et du RSSI.

A ce titre voici vos principales missions : 
-Co-construire la vision puis la roadmap portant sur la stratégie Data de l'entreprise, en collaboration avec les directions métiers
-Décliner cette roadmap en plan d'actions, découpé en plusieurs livrables
-Piloter la mise en œuvre de la roadmap en supervisant la réalisation des différents projets/actions
-Superviser, dans ce cadre, les actions portant sur la mise en œuvre de solutions, et sur l'instauration et le suivi d'une gouvernance sur la qualité des données
-Garantir avec votre équipe l'implémentation des solutions de Business Intelligence (BI) et analyse de données en partenariat avec le business. Vous harmonisez et centralisez les données.
-Garantir la cohérence et l'évolution des systèmes d'information, piloter la supervision, la maintenance et la mise en œuvre des évolutions
-Définir et mettez en place les indicateurs clés de performance (KPI) liées à la data.
-Mener des audits réguliers pour s'assurer de la qualité et de l'intégrité de la donnée, du bon usage des outils et de la donnée. Vous mettez en place les processus, les normes et la documentation technique nécessaire.
-Assurer une veille technologique sur les outils de BI et les solutions de gestion de données, les tendances et nouvelles pratiques
-Participer aux projets nécessitant des ressources data et à la planification et ordonnancement des activités BUILD/RUN.

Un mot sur l'environnement technique : ETL (Pentaho 5.2, 8.1 et 9. Pentaho Server), Jenkins, Base de données : PostgreSQL, Tableau.

Rémunération proposée en fonction de l'expérience, 13ème mois et demi, 60% abonnement transport, participation et intéressement, carte restaurant, mutuelle, télétravail à la validation de la période d'essai.

De formation Bac+5 en Informatique avec une spécialisation Statistiques exploitation de données ou Statistique et informatique décisionnelle, Big Data analyse, vous possédez impérativement une expérience confirmée d'au moins 5 ans en gestion de projets BI et en management (hiérarchique et/ou transverse).
 
Vous pensez être fait pour ce poste ? Voici les attentes de notre client : 

-Avoir une bonne compréhension des SI exploités : connaissance des matériels, des logiciels, des normes de fichiers, des systèmes d'exploitation, des applications et des liaisons inter applications.
-Maitrise des langages ainsi que des outils de traitements batch et des échanges de données inter-applicatifs.
-Maitriser des bases de données et de leur architecture
-Posséder des connaissances dans le langage d'interrogation et de manipulations des données comme SQL / PostgreSQL
-Anglais courant

Si votre profil correspond, vous aurez un premier entretien au sein de notre cabinet si nous ne nous connaissons pas déjà puis deux entretiens maximums seront à prévoir avec le client.

Vous intégrez une entreprise au contexte international avec un service informatique de taille. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9115259
57,Contrôleur de Gestion - Data analyst H/F,annecy,2022-02-10,TALEXIM,"RESPONSABILITÉS : 

Ce que nous vous proposons :
Intégré au sein du service Marketing, vous êtes l'interlocuteur privilégié des opérationnels et de la Direction sur le data model, sur les Dashboards et leur analyse.
Dans ce contexte, vous participerez aux missions suivantes :
- Contrôler la qualité et la cohérence des données au sein du data model
- Assurer le suivi au quotidien des KPI Groupe
- Adapter les outils d'analyses ou d'aide au pilotage : indicateurs / tableaux de bord des différents services du Groupe ou de la Direction
- Mise en place de reportings pour proposer de nouveaux leviers business marketing
- Partager, synthétiser les résultats avec les différentes équipes et la direction afin de :
-> Les accompagner dans la compréhension de ces données
-> Les aider dans la prise de décision
- Améliorer le connaissance client par l'analyse des comportements
Les + :
Contrat : CDI
Horaires : 38 heures/semaine
Statut : Cadre
Rémunération : Selon profil et expérience
Avantages associés : Mutuelle, Prévoyance, Tickets Restaurants

PROFIL RECHERCHÉ : 

Et vous ?
De formation BAC+4 +5 ou équivalent, vous êtes orientée business
Vous maitrisez Excel, Google Analytics et avez une appétence particulière pour le langage SQL et la manipulation de données.
Vos qualités :
-> Autonomie, pro activité
-> Votre rigueur, organisation et votre agilité vous permettent d'analyser et de contrôler une multitude de données avec finesse.
-> Vous faites preuve de persévérance et de pédagogie pour expliquer les règles et animer des démarches d'améliorations des processus auprès des équipes.
-> Vous avez l'univers e-business dans la peau et idéalement une première expérience professionnelle sur ce type d'activité ce serait un vrai plus !
Vous vous reconnaissez dans cette annonce ? On vous attend ! Et dans tous les cas, on vous donne des nouvelles :) ",https://candidat.pole-emploi.fr/offres/recherche/detail/9103488
58,Data analyste métier (H/F),69,2022-02-10,APAVE,"Notre société : 
 Pourquoi rejoindre la référence en maîtrise des risques ?
Pour accompagner nos 300 000 clients dans la gestion de leurs risques techniques, humains et environnementaux. 
Pour exprimer vos talents dans des missions toujours plus techniques et passionnantes. 
Pour révéler tout votre potentiel grâce à un parcours apprenant et évolutif. 
Pour partager 150 ans d'expérience, de savoir-faire et d'aventure humaine. 
Pour maîtriser les risques et donner du sens à votre métier...Ensemble ! 
 Référence 
 22.ABC DAM-14072 
 Date de parution 
 09 02 2022 
 Description du poste : 
Intitulé de l'offre
Data Analyste métier H F
Métier   Spécialité 
Métiers fonctionnels - Informatique
Type de contrat
Emploi
Précision du contrat 
CDI
 Mission proposée : 
Dans le cadre d'un projet stratégique de transformation de l'entreprise, APAVE a lancé un projet visant à fournir aux directeurs, managers et collaborateurs des moyens de suivi et de pilotage de l'activité (reporting   dashboard   dataviz). Les grands axes du projet sont :
 harmoniser les processus de pilotage et déployer les bonnes pratiques 
 outiller les managers et collaborateurs de moyens de suivi et de pilotage de leurs activités (ex : reporting   dashboard   dataviz) sur un spectre large de fonctions de l'entreprise (production, commerce, qualité, Finance   contrôle de gestion, RH,...) 
 accompagner les utilisateurs dans la prise en main, l'adoption de ces nouveaux outils et la bonne application des bonnes pratiques 
# 
 Vos missions : 
Vous serez responsable de la mise en place d'un certain nombre d'analyses métiers   outils analytics et serez amené à coordonner les travaux de data analystes juniors.
Vos missions seront, en tant que Data Analyste Métier, de mettre en place les moyens d'analyse sur toute la chaîne :
 collecte et challenge des besoins
 animation des groupes de travail avec les experts métiers 
 identification des données sources et interaction avec les sachants par source de données 
 le cas échéant vous mènerez des campagnes d'analyse de données pour qualifier les données et aider à préciser les règles de gestion
 conception et spécification (stratégie de sourcing, règles de gestions, kpis, viz)
 implémentation et accompagnement à la recette
 déploiement et assistance à l'utilisation 
 mise à jour (rafraîchissement des données, pilotage du backlog de corrections   évolutions)
 Contribuer à la définition, la mise en place et le suivi du respects des bonnes pratiques sur la chaîne de production des briques analytics 
 Vous coordonnez les travaux des autres data analystes pour garantir de la cohérence 
 Vous managez des collaborateurs plus juniors 
 Vous contribuez à l'animation de la gouvernance des données 
 Profil : 
 souhaité 
Votre profil : technico-fonctionnel data
 Vous avez une forte connaissance   culture du monde de la donnée et savez notamment apporter du conseil sur les bonnes pratiques de dataviz
 Vous êtes animé par le soucis d'apporter de la valeur et êtes orienté  service rendu à l'utilisateur""
 Vous êtes force de proposition
 Vous êtes pragmatique, organisé, savez gérer vos priorités et savez piloter votre temps (estimation reste à faire, suivi)
# Compétences, aptitudes, expériences requises: 
 Maîtrise de toute la chaîne data   reporting 
 Tests et validation des données
 Analyse de données à des fins métiers 
 Techniquement vous êtes parfaitement à l'aise d'une manière générale, mais particulièrement sur :
 Python (scikit learn, pandas, matplotlib, seaborn, dash)
 Power BI 
 DataBricks
 Animation d'ateliers   réunions de travail
Vous avez  la fibre  Data Science et ou des expériences dans ce domai ",https://candidat.pole-emploi.fr/offres/recherche/detail/9094148
59,"Data Analyst F/H - Système, réseaux, données (H/F)",lyon ,2022-02-10,SHAPE IT,"Descriptif du poste:

Le poste proposé :
* Traitement de données (modélisation, intégration...)
* Restitutions écrites sous forme de documents de synthèses
* Réalisation de rapports/documents/tableaux de bord
* Conception et évolution de modèles décisionnels
* Conception et développement d'alimentation des modèles via ETL
* Conception et développement des reporting associés sur PowerBi

Profil recherché:

Le profil recherché :
* Maîtriser un ETL du marché (SSIS, Talend, Informatica...)
* Connaître un outil de visualisation de données (Power BI, Tableau, SSRS...)
* Connaître un langage de programmation (SQL, Python, R...)
* Expérience d'au moins 2 ans sur un poste similaire ",https://candidat.pole-emploi.fr/offres/recherche/detail/9084514
60,"Data Analyst Marketing F/H - Système, réseaux, données (H/F)",tassin la demi lune,2022-02-10,KARPOS,"Descriptif du poste:

Le cabinet KARPOS recrute pour l'un de ses clients, entreprise reconnue et leader mondial dans son secteur d'activité. Vous rejoignez un environnement multimarque passionné par l'innovation et réputé auprès du grand public. 
Nous recherchons un(e) Data Analyst Media & CRM pour rejoindre la filiale française, à ce titre vous aurez comme rôle principal d'optimiser le ROI des campagnes media, que ce soit en environnement distributeur ou pas, et d'améliorer les stratégies media; e-activation et CRM. 
Vos missions s'articulent autour de trois axes principaux :
Tableaux de suivi/Dashboard :
* Vous centralisez les données externes en vous appuyant sur les outils du Groupe afin de suivre la performance des campagnes, et mesurer le niveau de contribution de chaque touchpoint pour optimiser en continu le mix des campagnes.
* Vous définissez, créez et mettez à jour des tableaux de suivi à partir des données disponibles à destination des équipes e-activation, media digital et CRM
* Vous veillez à l'amélioration continue des différents suivis des leviers de la performance online
* Vous avez en charge la réalisation des nouveaux suivis/solutions/analyses pour optimiser le pilotage de la performance online des campagnes media et CRM
Analyses ad hoc :
* En collaboration étroite avec les équipes e-activation, media digital, et CRM, vous analysez et co-construisez des plans d'actions répondant à des enjeux business et marketing (segmentation d'audience, analyses comportementales)
Accompagnement et formation :
* Vous êtes le (la) référent sur les outils de pilotage du CRM et du media digital, et à ce titre, vous êtes garant du bon fonctionnement des plateformes,
* Vous êtes l'interlocuteur(ice) privilégié de nos agences et des services IT internes - Vous avez un rôle de Key User sur un/plusieurs outils : en tant qu'expert, vous accompagnez les équipes dans l'utilisation de l'outil pour en faciliter l'exploitation et faire monter en compétence les utilisateurs,
* Vous assurez l'autonomisation des équipes e-activation, media digital et CRM sur les principaux outils analytiques pour suivre la performance du groupe.
* Vous avez un rôle de veille sur les outils existants et nouveaux sur l'environnement media/CRM qui permettraient une meilleure captation/utilisation de la data de ces leviers.

Profil recherché:

De formation Bac+5 en Marketing et/ou Statistiques, vous avez une expérience réussie de 3 ans minimum sur un poste similaire au sein d'équipes marketing/service études. Vous avez une bonne connaissance des solutions de visualisation de données (QlikSense) et vous savez traiter la donnée à travers un modèle relationnel. La maîtrise du langage SQL est un plus. Vous avez de solides connaissances dans le recueil de données, idéalement dans un écosystème varié. Vous êtes à l'aise avec les outils informatiques. Vous faites preuve d'organisation, de rigueur, d'esprit de synthèse et d'une bonne capacité à prioriser (les projets et le temps alloué à chaque mission). Votre réactivité, prise d'initiative et force de proposition vous permettront de mener à bien les missions confiées. Vos qualités relationnelles, votre flexibilité et votre capacité d'adaptation vous permettront de dialoguer positivement en interne avec l'ensemble des services concernés. Votre anglais est courant. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9079729
61,DATA ANALYSTE MÉTIER (H/F),lyon ,2022-02-10,Unknow,"Recherche: DATA ANALYSTE MÉTIER (H/F)
Dans le cadre d'un projet stratégique de transformation de l'entreprise, APAVE a lancé un projet visant à fournir aux directeurs, managers et collaborateurs des moyens de suivi et de pilotage de l'activité (reporting / dashboard / dataviz). Les grands axes du projet sont :
? harmoniser les processus de pilotage et déployer les bonnes pratiques
? outiller les managers et collaborateurs de moyens de suivi et de pilotage de leurs activités (ex : reporting / dashboard / dataviz) sur un spectre large de fonctions de l'entreprise (production, commerce, qualité, Finance / contrôle de gestion, RH,...)
? accompagner les utilisateurs dans la prise en main, l'adoption de ces nouveaux outils et la bonne application des bonnes pratiques
# Vos missions :
Vous serez responsable de la mise en place d'un certain nombre d'analyses métiers / outils analytics et serez amené à coordonner les travaux de data analystes juniors.
Vos missions seront, en tant que... ",https://candidat.pole-emploi.fr/offres/recherche/detail/9065183
62,Responsable Conseil Data Management (F/H)    (H/F),lyon ,2022-02-09,THELIO,"L'agence de Lyon recherche son responsable d'offres Conseil Data Management.
Pour relever ce défi, vos missions seront les suivantes :

 En tant que Consultant Confirmé / Sénior :
- Conseiller en autonomie vos clients dans le cadrage de leurs sujets data, de l'identification des enjeux à la construction de leur feuille de route.
- Accompagner vos clients dans la mise en œuvre de leurs chantiers data

En tant que Référent Data Management au sein de l'agence de Lyon :
- Porter le développement des offres Data Management sur le territoire Lyonnais en cohérence avec la stratégie Thélio.
- Contribuer significativement à l'activité commerciale et aux avant-ventes sur le périmètre data management.


Vous avez a minima 5 ans d'expérience au sein d'un cabinet de conseil.
Vous savez concilier analyse des enjeux business de vos clients et compréhension des problématiques techniques 
Organisé, autonome, et toujours force de proposition, vous savez aussi bien vous appuyer sur vos expériences de chef de projet que sur vos qualités relationnelles pour mener à bien vos missions.
Curieux, doté d'un esprit analytique, méthodique, rigoureux et pragmatique, vous mettez ces qualités à profit pour produire des livrables de qualité et percutants, adaptés au au contexte de vos clients.",https://candidat.pole-emploi.fr/offres/recherche/detail/127VKHH
63,Data Engineer      (H/F),lyon ,2022-02-09,THELIO,"Rejoignez une équipe pleine d'énergie dans un cadre mêlant bienveillance, passion et agilité.

Selon vos expériences, votre mission sera de :
- Définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions
- Effectuer des analyses fonctionnelles, rédiger les spécifications, retranscrire les besoins métiers en solutions techniques
- Concevoir et développer des pipelines de données
- Garantir la sécurité et l'intégrité des données
- Encadrer vos collègues dans le respect de la charge et du planning projet et transmettre votre expertise
- Être garant des solutions techniques mises en œuvre
- Être force de proposition sur les projets de la conception à la mise en production

Vous serez également amené à intervenir sur les sujets tels que : participation aux avant-ventes, mise en place de POC, accompagnement à la gestion de projet, missions de conseil et d'audit, d'expertise technique et d'optimisation auprès de clients.",https://candidat.pole-emploi.fr/offres/recherche/detail/127VJVB
64,Consultant Data et BI       (H/F),lyon ,2022-02-09,THELIO,"Selon vos expériences, vous êtes autonome a minima sur 3 typologies de missions décrites ci-dessous :

- Analyser et définir les architectures data de nos clients
- Effectuer des analyses fonctionnelles et rédiger les spécifications
- Concevoir et développer des flux d'alimentation de plateformes Data
- Mettre en place les reporting et Dashboard
- Être garant des solutions techniques mises en ?uvre
- Être force de proposition sur les projets de la conception à la mise en production
- Encadrer vos collègues et piloter les projets Data 

Maîtriser une ou plusieurs technologies suivantes :

- Modern Data Plateform : AZURE, GCP, AWS
- Suite BI Microsoft (SSIS, SSAS, SSRS), Azure Data Factory, Azure Databricks
- Talend (Data Integration, Data Quality, Big Data, Master Data Management, ESB)
- Stockage : SQL Server, Oracle, Azure Datalake, Google Big Query, Snowflake
- Dataviz : Power BI, Qlik, Tableau Software

Et être aguerri(e) à la maitrise du SQL",https://candidat.pole-emploi.fr/offres/recherche/detail/127VJLH
